Category	Ticker	Date	Open	Close	High	Low
EVs	TSLA	2021-09-01	244.693329	244.696671	247.330002	243.756668
EVs	TSLA	2021-09-02	244.833328	244.130005	246.990005	243.513336
EVs	TSLA	2021-09-03	244.083328	244.523331	244.666672	241.399994
EVs	TSLA	2021-09-04	245.38	247.75	249.03	243.91
EVs	TSLA	2021-09-05	246.02	249.36	251.21	245.16
EVs	TSLA	2021-09-06	246.34	250.17	252.3	245.79
EVs	TSLA	2021-09-07	246.666672	250.973328	253.399994	246.419998
EVs	TSLA	2021-09-08	253.860001	251.289993	254.816666	246.92334
EVs	TSLA	2021-09-09	251.136673	251.619995	254.03334	250.543335
EVs	TSLA	2021-09-10	253.199997	245.42334	254.203339	244.839996
EVs	TSLA	2021-09-11	249.97	246.55	251.23	240.56
EVs	TSLA	2021-09-12	248.35	247.11	249.74	238.42
EVs	TSLA	2021-09-13	246.736664	247.666672	248.259995	236.28334
EVs	TSLA	2021-09-14	247.523331	248.16333	251.490005	245.46666
EVs	TSLA	2021-09-15	248.333328	251.943329	252.286667	246.119995
EVs	TSLA	2021-09-16	250.943329	252.330002	252.970001	249.203339
EVs	TSLA	2021-09-17	252.383331	253.16333	253.679993	250.0
EVs	TSLA	2021-09-18	248.62	248.28	250.51	244.77
EVs	TSLA	2021-09-19	246.74	245.83	248.92	242.15
EVs	TSLA	2021-09-20	244.853333	243.389999	247.333328	239.539993
EVs	TSLA	2021-09-21	244.929993	246.460007	248.246674	243.479996
EVs	TSLA	2021-09-22	247.843338	250.646667	251.223328	246.373337
EVs	TSLA	2021-09-23	251.666672	251.213333	252.733337	249.306671
EVs	TSLA	2021-09-24	248.630005	258.130005	258.266663	248.186661
EVs	TSLA	2021-09-25	253.17	260.96	262.3	252.31
EVs	TSLA	2021-09-26	255.44	262.37	264.32	254.37
EVs	TSLA	2021-09-27	257.706665	263.786682	266.333344	256.436676
EVs	TSLA	2021-09-28	262.399994	259.186676	265.213318	255.393326
EVs	TSLA	2021-09-29	259.933319	260.436676	264.5	256.893341
EVs	TSLA	2021-09-30	260.333344	258.493347	263.043335	258.333344
EVs	TSLA	2021-10-01	259.466675	258.406677	260.26001	254.529999
EVs	TSLA	2021-10-02	262.48	259.46	264.62	256.62
EVs	TSLA	2021-10-03	263.99	259.99	266.8	257.66
EVs	TSLA	2021-10-04	265.5	260.51001	268.98999	258.706665
EVs	TSLA	2021-10-05	261.600006	260.196655	265.769989	258.066681
EVs	TSLA	2021-10-06	258.733337	260.916656	262.220001	257.73999
EVs	TSLA	2021-10-07	261.820007	264.536682	268.333344	261.126678
EVs	TSLA	2021-10-08	265.40332	261.829987	265.459991	260.303345
EVs	TSLA	2021-10-09	263.98	262.9	266.27	261.07
EVs	TSLA	2021-10-10	263.26	263.44	266.67	261.45
EVs	TSLA	2021-10-11	262.549988	263.980011	267.079987	261.833344
EVs	TSLA	2021-10-12	266.976654	268.573334	270.773346	265.523346
EVs	TSLA	2021-10-13	270.156677	270.359985	271.803345	268.593323
EVs	TSLA	2021-10-14	271.829987	272.773346	273.416656	271.116669
EVs	TSLA	2021-10-15	274.579987	281.01001	281.070007	274.116669
EVs	TSLA	2021-10-16	279.25	285.52	286.41	278.97
EVs	TSLA	2021-10-17	281.59	287.78	289.08	281.4
EVs	TSLA	2021-10-18	283.929993	290.036682	291.753326	283.823334
EVs	TSLA	2021-10-19	292.51001	288.089996	292.649994	287.503326
EVs	TSLA	2021-10-20	288.450012	288.600006	289.829987	285.793335
EVs	TSLA	2021-10-21	285.333344	298.0	300.0	285.166656
EVs	TSLA	2021-10-22	298.5	303.226654	303.333344	296.986664
EVs	TSLA	2021-10-23	307.67	322.42	325.84	305.86
EVs	TSLA	2021-10-24	312.26	332.02	337.09	310.3
EVs	TSLA	2021-10-25	316.843323	341.619995	348.339996	314.733337
EVs	TSLA	2021-10-26	341.563324	339.476654	364.980011	333.813324
EVs	TSLA	2021-10-27	346.553345	345.953339	356.959991	343.593323
EVs	TSLA	2021-10-28	356.103333	359.013336	360.333344	351.399994
EVs	TSLA	2021-10-29	360.619995	371.333344	371.736664	357.736664
EVs	TSLA	2021-10-30	371.14	387.1	387.49	365.31
EVs	TSLA	2021-10-31	376.4	394.98	395.37	369.1
EVs	TSLA	2021-11-01	381.666656	402.863342	403.25	372.886658
EVs	TSLA	2021-11-02	386.453339	390.666656	402.863342	382.0
EVs	TSLA	2021-11-03	392.443329	404.619995	405.130005	384.206665
EVs	TSLA	2021-11-04	411.470001	409.970001	414.496674	405.666656
EVs	TSLA	2021-11-05	409.333344	407.363342	413.290009	402.666656
EVs	TSLA	2021-11-06	396.3	397.51	406.15	390.17
EVs	TSLA	2021-11-07	389.78	392.58	402.57	383.92
EVs	TSLA	2021-11-08	383.263336	387.646667	399.0	377.666656
EVs	TSLA	2021-11-09	391.200012	341.166656	391.5	337.17334
EVs	TSLA	2021-11-10	336.803345	355.983337	359.366669	329.103333
EVs	TSLA	2021-11-11	367.589996	354.503326	368.323334	351.559998
EVs	TSLA	2021-11-12	349.166656	344.473328	351.5	339.733337
EVs	TSLA	2021-11-13	344.19	341.13	347.75	332.97
EVs	TSLA	2021-11-14	341.7	339.46	345.87	329.59
EVs	TSLA	2021-11-15	339.209991	337.796661	343.993347	326.200012
EVs	TSLA	2021-11-16	334.436676	351.57666	352.399994	334.059998
EVs	TSLA	2021-11-17	354.503326	363.003326	373.213318	351.833344
EVs	TSLA	2021-11-18	368.850006	365.459991	370.666656	358.339996
EVs	TSLA	2021-11-19	366.290009	379.019989	379.573334	364.233337
EVs	TSLA	2021-11-20	376.87	382.32	390.11	370.85
EVs	TSLA	2021-11-21	382.16	383.97	395.38	374.16
EVs	TSLA	2021-11-22	387.443329	385.623322	400.649994	377.476654
EVs	TSLA	2021-11-23	389.170013	369.676666	393.5	354.233337
EVs	TSLA	2021-11-24	360.130005	372.0	377.589996	354.0
EVs	TSLA	2021-11-25	363.31	366.32	373.59	357.17
EVs	TSLA	2021-11-26	366.48999	360.640015	369.593323	360.333344
EVs	TSLA	2021-11-27	366.74	369.82	375.24	363.53
EVs	TSLA	2021-11-28	366.87	374.41	378.07	365.13
EVs	TSLA	2021-11-29	366.996674	378.996674	380.890015	366.730011
EVs	TSLA	2021-11-30	381.456665	381.58667	389.333344	372.666656
EVs	TSLA	2021-12-01	386.899994	365.0	390.946655	363.58667
EVs	TSLA	2021-12-02	366.353333	361.533325	371.0	352.216675
EVs	TSLA	2021-12-03	361.59668	338.323334	363.526672	333.40332
EVs	TSLA	2021-12-04	347.72	337.33	352.04	325.12
EVs	TSLA	2021-12-05	340.78	336.83	346.29	320.98
EVs	TSLA	2021-12-06	333.83667	336.33667	340.546661	316.833344
EVs	TSLA	2021-12-07	348.066681	350.583344	352.556671	342.269989
EVs	TSLA	2021-12-08	350.90332	356.320007	357.459991	344.333344
EVs	TSLA	2021-12-09	353.546661	334.600006	354.16333	334.119995
EVs	TSLA	2021-12-10	336.25	339.01001	340.32666	327.51001
EVs	TSLA	2021-12-11	334.97	330.57	337.66	322.33
EVs	TSLA	2021-12-12	334.33	326.35	336.33	319.74
EVs	TSLA	2021-12-13	333.696655	322.136658	335.0	317.140015
EVs	TSLA	2021-12-14	315.0	319.503326	322.136658	310.0
EVs	TSLA	2021-12-15	317.736664	325.329987	326.25	309.416656
EVs	TSLA	2021-12-16	331.5	308.973328	331.660004	307.283325
EVs	TSLA	2021-12-17	304.92334	310.856659	320.220001	303.013336
EVs	TSLA	2021-12-18	304.25	305.42	313.73	300.4
EVs	TSLA	2021-12-19	303.91	302.7	310.48	299.1
EVs	TSLA	2021-12-20	303.566681	299.980011	307.230011	297.796661
EVs	TSLA	2021-12-21	305.623322	312.843323	313.166656	295.373322
EVs	TSLA	2021-12-22	321.886658	336.290009	338.553345	319.016663
EVs	TSLA	2021-12-23	335.600006	355.666656	357.660004	332.519989
EVs	TSLA	2021-12-24	346.75	360.16	365.0	344.71
EVs	TSLA	2021-12-25	352.32	362.4	368.67	350.81
EVs	TSLA	2021-12-26	355.11	363.52	370.5	353.86
EVs	TSLA	2021-12-27	357.890015	364.646667	372.333344	356.906677
EVs	TSLA	2021-12-28	369.829987	362.823334	373.0	359.473328
EVs	TSLA	2021-12-29	366.213318	362.063324	368.0	354.713318
EVs	TSLA	2021-12-30	353.776672	356.779999	365.183319	351.049988
EVs	TSLA	2021-12-31	357.813324	352.26001	360.666656	351.529999
EVs	TSLA	2022-01-01	370.2	376.09	380.51	365.1
EVs	TSLA	2022-01-02	376.39	388.01	390.43	371.89
EVs	TSLA	2022-01-03	382.583344	399.926666	400.356659	378.679993
EVs	TSLA	2022-01-04	396.516663	383.196655	402.666656	374.350006
EVs	TSLA	2022-01-05	382.216675	362.706665	390.113342	360.33667
EVs	TSLA	2022-01-06	359.0	354.899994	362.666656	340.166656
EVs	TSLA	2022-01-07	360.123322	342.320007	360.309998	336.666656
EVs	TSLA	2022-01-08	346.73	347.51	356.67	331.67
