Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Tech	GOOGL	2021-12-03	143.681	142.001495	144.399994	140.300995	-1.1689
Tech	GOOGL	2021-12-04	143.36	142.58	144.13	140.23	-0.5441
Tech	GOOGL	2021-12-05	143.2	142.87	143.99	140.19	-0.2304
Tech	GOOGL	2021-12-06	143.040497	143.154999	143.852493	140.149994	0.08
Tech	GOOGL	2021-12-07	145.596497	147.269501	147.531006	145.227493	1.1491
Tech	GOOGL	2021-12-08	147.596497	148.186493	148.393005	146.406006	0.3997
Tech	GOOGL	2021-12-09	147.591003	147.638504	149.100006	147.115005	0.0322
Tech	GOOGL	2021-12-10	148.699997	148.001495	148.977493	146.703995	-0.4697
Tech	GOOGL	2021-12-11	148.24	146.91	148.47	146.11	-0.8972
Tech	GOOGL	2021-12-12	148.01	146.37	148.22	145.81	-1.108
Tech	GOOGL	2021-12-13	147.781494	145.826508	147.970001	145.517502	-1.3229
Tech	GOOGL	2021-12-14	143.968002	143.906998	144.479996	141.214996	-0.0424
Tech	GOOGL	2021-12-15	143.408997	146.440994	146.720993	141.677994	2.1142
Tech	GOOGL	2021-12-16	147.170502	144.445007	147.677002	143.606995	-1.8519
Tech	GOOGL	2021-12-17	142.5	141.725006	143.834503	141.300003	-0.5439
Tech	GOOGL	2021-12-18	141.25	141.67	142.8	140.31	0.2973
Tech	GOOGL	2021-12-19	140.62	141.64	142.29	139.82	0.7254
Tech	GOOGL	2021-12-20	140.0	141.606995	141.774506	139.320999	1.1479
Tech	GOOGL	2021-12-21	142.053497	143.472504	143.869003	140.502502	0.9989
Tech	GOOGL	2021-12-22	143.067505	146.414993	146.5	143.067505	2.3398
Tech	GOOGL	2021-12-23	146.5	146.916504	148.2435	146.451996	0.2843
Tech	GOOGL	2021-12-24	146.88	147.41	148.29	146.81	0.3608
Tech	GOOGL	2021-12-25	147.07	147.66	148.32	146.99	0.4012
Tech	GOOGL	2021-12-26	147.16	147.78	148.33	147.08	0.4213
Tech	GOOGL	2021-12-27	147.255997	147.906494	148.343994	147.169495	0.4417
Tech	GOOGL	2021-12-28	148.235992	146.686996	148.298996	146.054504	-1.045
Tech	GOOGL	2021-12-29	146.644501	146.654999	147.417007	145.647507	0.0072
Tech	GOOGL	2021-12-30	146.694	146.2005	147.300003	145.994507	-0.3364
Tech	GOOGL	2021-12-31	146.050003	144.852005	146.698502	144.852005	-0.8203
Tech	GOOGL	2022-01-01	145.55	144.92	146.27	144.28	-0.4328
Tech	GOOGL	2022-01-02	145.3	144.96	146.06	144.0	-0.234
Tech	GOOGL	2022-01-03	145.054993	144.991501	145.850998	143.712997	-0.0438
Tech	GOOGL	2022-01-04	145.395996	144.399506	146.485001	143.716507	-0.6854
Tech	GOOGL	2022-01-05	144.419998	137.774994	144.499496	137.688004	-4.6012
Tech	GOOGL	2022-01-06	136.998505	137.747498	139.940002	136.558502	0.5467
Tech	GOOGL	2022-01-07	138.145493	137.016998	138.448502	135.766495	-0.8169
Tech	GOOGL	2022-01-08	136.61	137.84	138.63	134.47	0.9004
Tech	GOOGL	2022-01-09	135.84	138.25	138.72	133.82	1.7741
Tech	GOOGL	2022-01-10	135.078003	138.669495	138.819504	133.164505	2.6588
Tech	GOOGL	2022-01-11	138.007004	139.735992	140.216003	136.692505	1.2528
Tech	GOOGL	2022-01-12	141.149994	141.430496	142.608002	140.694504	0.1987
Tech	GOOGL	2022-01-13	141.539993	138.587006	142.850006	138.408997	-2.0863
Tech	GOOGL	2022-01-14	137.078995	139.480499	140.742004	136.998505	1.7519
Tech	GOOGL	2022-01-15	136.63	137.74	138.94	136.22	0.8124
Tech	GOOGL	2022-01-16	136.4	136.87	138.04	135.83	0.3446
Tech	GOOGL	2022-01-17	136.29	136.43	137.59	135.63	0.1027
Tech	GOOGL	2022-01-18	136.175003	135.998001	137.1315	135.438507	-0.13
Tech	GOOGL	2022-01-19	136.523499	135.116501	137.959503	135.015503	-1.0306
Tech	GOOGL	2022-01-20	136.25	133.307495	137.626007	132.964493	-2.1596
Tech	GOOGL	2022-01-21	132.593506	130.351501	134.865494	130.086502	-1.6909
Tech	GOOGL	2022-01-22	129.29	130.58	133.03	127.29	0.9978
Tech	GOOGL	2022-01-23	127.63	130.69	132.12	125.9	2.3976
Tech	GOOGL	2022-01-24	125.977997	130.804001	131.203003	124.5	3.8308
Tech	GOOGL	2022-01-25	128.740005	126.934998	129.399002	126.500504	-1.4021
Tech	GOOGL	2022-01-26	131.119003	129.233002	133.0	127.141998	-1.4384
Tech	GOOGL	2022-01-27	131.304001	129.005005	132.652496	128.932495	-1.7509
Tech	GOOGL	2022-01-28	129.658997	133.350998	133.356506	128.485001	2.8475
Tech	GOOGL	2022-01-29	131.91	134.33	134.41	130.35	1.8346
Tech	GOOGL	2022-01-30	133.04	134.82	134.94	131.28	1.3379
Tech	GOOGL	2022-01-31	134.162003	135.303497	135.473007	132.209503	0.8508
Tech	GOOGL	2022-02-01	137.594498	137.643997	137.792999	134.3685	0.036
Tech	GOOGL	2022-02-02	151.25	148.0	151.546494	145.522507	-2.1488
Tech	GOOGL	2022-02-03	145.705505	143.089996	149.675003	142.665497	-1.7951
Tech	GOOGL	2022-02-04	143.444504	143.292999	144.875	140.514999	-0.1056
Tech	GOOGL	2022-02-05	143.85	141.25	144.56	139.71	-1.8074
Tech	GOOGL	2022-02-06	144.05	140.23	144.41	139.3	-2.6519
Tech	GOOGL	2022-02-07	144.25	139.201004	144.25	138.899994	-3.5002
Tech	GOOGL	2022-02-08	139.026505	139.399002	140.0	137.014008	0.2679
Tech	GOOGL	2022-02-09	140.963501	141.591995	142.524506	140.186996	0.4459
Tech	GOOGL	2022-02-10	139.703506	138.619995	141.484497	137.957001	-0.7756
Tech	GOOGL	2022-02-11	138.600006	134.282501	139.156494	133.399994	-3.1151
Tech	GOOGL	2022-02-12	135.93	134.9	137.73	133.33	-0.7577
Tech	GOOGL	2022-02-13	134.59	135.21	137.02	133.29	0.4607
Tech	GOOGL	2022-02-14	133.2565	135.526001	136.300003	133.2565	1.7031
Tech	GOOGL	2022-02-15	137.570496	136.608505	138.108505	135.821503	-0.6993
Tech	GOOGL	2022-02-16	136.6465	137.738007	138.085999	134.923996	0.7988
Tech	GOOGL	2022-02-17	136.242996	132.539001	137.113495	132.4785	-2.7187
Tech	GOOGL	2022-02-18	133.466995	130.403	134.070007	130.196503	-2.2957
Tech	GOOGL	2022-02-19	131.65	130.11	133.13	129.21	-1.1698
Tech	GOOGL	2022-02-20	130.74	129.96	132.66	128.72	-0.5966
Tech	GOOGL	2022-02-21	130.29	129.89	132.42	128.47	-0.307
Tech	GOOGL	2022-02-22	129.837997	129.813507	132.180496	128.223495	-0.0189
Tech	GOOGL	2022-02-23	131.648499	127.587997	132.050995	127.527496	-3.0844
Tech	GOOGL	2022-02-24	124.953499	132.690994	133.0	124.953499	6.1923
Tech	GOOGL	2022-02-25	133.552002	134.459503	135.2715	131.751495	0.6795
Tech	GOOGL	2022-02-26	133.3	134.76	135.51	132.17	1.0953
Tech	GOOGL	2022-02-27	133.18	134.91	135.63	132.38	1.299
Tech	GOOGL	2022-02-28	133.050003	135.057007	135.751495	132.592499	1.5085
Tech	GOOGL	2022-03-01	134.878494	134.061493	136.255493	133.218506	-0.6057
Tech	GOOGL	2022-03-02	134.628006	134.571503	135.262497	133.071503	-0.042
Tech	GOOGL	2022-03-03	136.009995	133.899506	136.439499	133.025497	-1.5517
Tech	GOOGL	2022-03-04	132.927505	131.906494	133.851501	130.337494	-0.7681
Tech	GOOGL	2022-03-05	132.21	129.14	132.79	128.32	-2.3221
Tech	GOOGL	2022-03-06	131.85	127.76	132.26	127.31	-3.102
Tech	GOOGL	2022-03-07	131.488007	126.378502	131.735001	126.294998	-3.8859
Tech	GOOGL	2022-03-08	126.25	127.1045	131.25	125.6745	0.6768
Tech	GOOGL	2022-03-09	131.25	133.419998	133.735504	129.900497	1.6533
Tech	GOOGL	2022-03-10	131.266006	132.429504	133.272003	130.912506	0.8864
Tech	GOOGL	2022-03-11	133.488495	129.870499	133.795502	129.6315	-2.7103
Tech	GOOGL	2022-03-12	131.87	127.91	132.1	127.45	-3.003
Tech	GOOGL	2022-03-13	131.06	126.93	131.25	126.36	-3.1512
Tech	GOOGL	2022-03-14	130.25	125.950996	130.408997	125.275002	-3.3006
